,date,vix
739,2019-05-27,17
740,2019-05-24,16
741,2019-05-23,16
742,2019-05-22,16
743,2019-05-21,15
744,2019-05-20,15
745,2019-05-17,16
746,2019-05-16,16
747,2019-05-15,16
748,2019-05-14,18
749,2019-05-13,18
750,2019-05-10,18
751,2019-05-09,18
752,2019-05-08,15
753,2019-05-07,14
754,2019-05-03,13
755,2019-05-02,13
756,2019-04-30,13
757,2019-04-29,13
758,2019-04-26,12
759,2019-04-25,12
760,2019-04-24,12
761,2019-04-23,12
762,2019-04-22,12
763,2019-04-19,12
764,2019-04-18,12
765,2019-04-17,12
766,2019-04-16,12
767,2019-04-15,12
768,2019-04-12,12
769,2019-04-11,12
770,2019-04-10,30
771,2019-04-09,12
772,2019-04-08,13
773,2019-04-05,13
774,2019-04-04,13
775,2019-04-03,13
776,2019-04-02,13
777,2019-04-01,13
778,2019-03-29,14
779,2019-03-28,14
780,2019-03-27,14
781,2019-03-26,14
782,2019-03-25,15
783,2019-03-22,13
784,2019-03-21,13
785,2019-03-20,13
786,2019-03-19,13
787,2019-03-18,13
788,2019-03-15,13
789,2019-03-14,13
790,2019-03-13,14
791,2019-03-12,14
792,2019-03-11,15
793,2019-03-08,15
794,2019-03-07,14
795,2019-03-06,14
796,2019-03-05,14
797,2019-03-04,15
798,2019-02-28,15
799,2019-02-27,14
800,2019-02-26,14
801,2019-02-25,14
802,2019-02-22,14
803,2019-02-21,14
804,2019-02-20,14
805,2019-02-19,15
806,2019-02-18,14
807,2019-02-15,14
808,2019-02-14,13
809,2019-02-13,15
810,2019-02-12,14
811,2019-02-11,14
812,2019-02-08,14
813,2019-02-07,14
814,2019-02-01,14
815,2019-01-31,15
816,2019-01-30,16
817,2019-01-29,15
818,2019-01-28,14
819,2019-01-25,14
820,2019-01-24,14
821,2019-01-23,14
822,2019-01-22,14
823,2019-01-21,14
824,2019-01-18,14
825,2019-01-17,14
826,2019-01-16,14
827,2019-01-15,15
828,2019-01-14,14
829,2019-01-11,14
830,2019-01-10,15
831,2019-01-09,15
832,2019-01-08,16
833,2019-01-07,16
834,2019-01-04,17
835,2019-01-03,19
836,2019-01-02,19
837,2018-12-28,18
838,2018-12-27,19
839,2018-12-26,21
840,2018-12-24,19
841,2018-12-21,18
842,2018-12-20,18
